UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3326838,11/2/2015,15:00,BROOKLYN,11232,40.6538564,-74.0081666,"(40.6538564, -74.0081666)",3 AVENUE,39 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,FAILURE TO YIELD RIGHT-OF-WAY,FAILURE TO YIELD RIGHT-OF-WAY,,,
3264238,7/24/2015,17:10,MANHATTAN,10023,40.7730321,-73.9782834,"(40.7730321, -73.9782834)",WEST 67 STREET,CENTRAL PARK WEST,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,,,,
3302665,9/21/2015,16:49,BRONX,10467,40.8711195,-73.8768264,"(40.8711195, -73.8768264)",WEBSTER AVENUE,EAST 204 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3553673,11/3/2016,17:11,BROOKLYN,11201,40.6981735,-73.9914421,"(40.6981735, -73.9914421)",,,200       CADMAN PLAZA WEST,1,0,1,0,0,0,0,0,PASSENGER VEHICLE,,,,,FAILURE TO YIELD RIGHT-OF-WAY,,,,
3251947,7/3/2015,19:45,MANHATTAN,10019,40.7679171,-73.9857147,"(40.7679171, -73.9857147)",WEST 57 STREET,9 AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3350926,12/11/2015,10:54,BROOKLYN,11229,40.608031,-73.9600379,"(40.608031, -73.9600379)",EAST 13 STREET,QUENTIN ROAD,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,OTHER VEHICULAR,OTHER VEHICULAR,,,
3158597,1/23/2015,16:45,QUEENS,11373,40.7339657,-73.8720247,"(40.7339657, -73.8720247)",QUEENS BOULEVARD,90 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,,
3368061,1/10/2016,16:10,BRONX,10470,40.9046015,-73.8529246,"(40.9046015, -73.8529246)",EAST 241 STREET,CARPENTER AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,OTHER,,,,UNSPECIFIED,UNSPECIFIED,,,
3373865,1/19/2016,18:37,MANHATTAN,10010,40.7415488,-73.9895745,"(40.7415488, -73.9895745)",WEST 23 STREET,5 AVENUE,,2,0,0,0,0,0,2,0,BUS,BUS,SMALL COM VEH(4 TIRES),,,FATIGUED/DROWSY,UNSPECIFIED,UNSPECIFIED,,
3154697,1/18/2015,8:40,MANHATTAN,10025,40.7965647,-73.9741945,"(40.7965647, -73.9741945)",WEST 97 STREET,RIVERSIDE DRIVE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,,,,,PAVEMENT SLIPPERY,,,,
3446376,5/27/2016,8:00,BRONX,10468,40.8629527,-73.8979476,"(40.8629527, -73.8979476)",,,2500 CRESTON AVENUE,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3263635,7/22/2015,19:30,BRONX,10459,40.8230774,-73.8917906,"(40.8230774, -73.8917906)",SOUTHERN BOULEVARD,ALDUS STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,FATIGUED/DROWSY,UNSPECIFIED,,,
3323503,10/26/2015,16:03,QUEENS,11419,40.686027,-73.8250515,"(40.686027, -73.8250515)",118 STREET,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3452916,6/1/2016,15:30,,,40.7280368,-73.9718224,"(40.7280368, -73.9718224)",,,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3381416,1/31/2016,20:15,BROOKLYN,11203,40.6501081,-73.9302061,"(40.6501081, -73.9302061)",UTICA AVENUE,SNYDER AVENUE,,2,0,0,0,0,0,2,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3370545,1/14/2016,4:25,MANHATTAN,10035,40.8042193,-73.9325657,"(40.8042193, -73.9325657)",,,F/O 2485 2 AVENUE,0,0,0,0,0,0,0,0,OTHER,OTHER,,,,LOST CONSCIOUSNESS,UNSPECIFIED,,,
3372594,1/17/2016,15:20,QUEENS,11375,40.7258462,-73.8553828,"(40.7258462, -73.8553828)",BOOTH STREET,67 AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,OTHER ELECTRONIC DEVICE,UNSPECIFIED,UNSPECIFIED,,
